EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
9991475,FLORIDA,1953,December,Tornado,C,DUVAL,0,0,0,0,250K,0
10162818,WYOMING,1953,May,Tornado,C,SHERIDAN,0,0,0,0,0K,0
10099782,OKLAHOMA,1953,March,Tornado,C,COMANCHE,0,0,0,0,2.5K,0
10099783,OKLAHOMA,1953,April,Tornado,C,MCCLAIN,0,0,0,0,0K,0
10099784,OKLAHOMA,1953,April,Tornado,C,CANADIAN,0,0,0,0,250K,0
10099785,OKLAHOMA,1953,April,Tornado,C,ATOKA,0,0,0,0,2.5K,0
10099786,OKLAHOMA,1953,April,Tornado,C,OKMULGEE,4,0,1,0,25K,0
10099787,OKLAHOMA,1953,April,Tornado,C,MCCURTAIN,1,0,0,0,250K,0
10099788,OKLAHOMA,1953,April,Tornado,C,MCCURTAIN,0,0,0,0,2.5K,0
10099789,OKLAHOMA,1953,April,Tornado,C,MCCURTAIN,14,0,1,0,.03K,0
10099790,OKLAHOMA,1953,April,Tornado,C,WOODWARD,0,0,0,0,0K,0
10099791,OKLAHOMA,1953,April,Tornado,C,PUSHMATAHA,0,0,0,0,.25K,0
10099792,OKLAHOMA,1953,May,Tornado,C,HARMON,0,0,0,0,2.5K,0
10099793,OKLAHOMA,1953,May,Tornado,C,GREER,0,0,0,0,2.5K,0
10099794,OKLAHOMA,1953,May,Tornado,C,GREER,0,0,0,0,2.5K,0
10099795,OKLAHOMA,1953,May,Tornado,C,CUSTER,0,0,0,0,.25K,0
10104944,PENNSYLVANIA,1953,May,Tornado,C,SCHUYLKILL,0,0,0,0,2.5K,0
10104945,PENNSYLVANIA,1953,May,Tornado,C,INDIANA,0,0,0,0,25K,0
10104946,PENNSYLVANIA,1953,June,Tornado,C,CHESTER,0,0,0,0,2.5K,0
10104947,PENNSYLVANIA,1953,September,Tornado,C,NORTHUMBERLAND,0,0,0,0,2.5K,0
10104948,PENNSYLVANIA,1953,November,Tornado,C,ERIE,2,0,0,0,25K,0
10104949,PENNSYLVANIA,1953,November,Tornado,C,LANCASTER,0,0,0,0,2.5K,0
10083093,OHIO,1953,April,Tornado,C,CLERMONT,0,0,0,0,25K,0
10073816,NEBRASKA,1953,May,Tornado,C,RICHARDSON,0,0,0,0,2.5K,0
