FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1001409,5556653,D,1/5/96 12:00,19,M,Other
1001275,5548075,D,1/29/96 12:00,75,F,Outside/Open Areas
1001579,5569986,D,1/19/96 12:00,54,M,Mobile/Trailer Home
1001537,5574628,D,1/1/96 12:00,37,M,Long Span Roof
1001538,5574649,D,1/18/96 12:00,23,F,Vehicle/Towed Trailer
1001566,5569356,D,1/8/96 12:00,47,M,Outside/Open Areas
1001567,5569363,D,1/7/96 12:00,76,M,Outside/Open Areas
1001568,5569800,D,1/19/96 12:00,62,F,Vehicle/Towed Trailer
1001569,5569804,D,1/19/96 12:00,17,M,Outside/Open Areas
1001570,5569817,D,1/21/96 12:00,32,M,Vehicle/Towed Trailer
1001571,5569819,D,1/19/96 12:00,34,F,Vehicle/Towed Trailer
1001572,5569819,D,1/19/96 12:00,35,F,Vehicle/Towed Trailer
1001573,5569819,D,1/19/96 12:00,38,M,Vehicle/Towed Trailer
1001574,5569819,D,1/19/96 12:00,8,M,Vehicle/Towed Trailer
1001575,5569986,D,1/19/96 12:00,77,M,Vehicle/Towed Trailer
1001576,5569986,D,1/19/96 12:00,75,F,Vehicle/Towed Trailer
1001577,5569986,D,1/19/96 12:00,68,M,Vehicle/Towed Trailer
1001578,5569986,D,1/19/96 12:00,38,F,Mobile/Trailer Home
1001580,5569986,D,1/19/96 12:00,59,F,Vehicle/Towed Trailer
1001581,5569989,D,1/19/96 12:00,75,M,Vehicle/Towed Trailer
1001739,5586728,D,1/11/96 12:00,33,M,Outside/Open Areas
1001167,5538189,D,1/18/96 12:00,52,M,Permanent Home
1001168,5538446,D,1/26/96 12:00,84,M,Outside/Open Areas
1001169,5538447,D,1/29/96 12:00,57,M,Outside/Open Areas
1001172,5536209,D,1/2/96 12:00,20,F,Vehicle/Towed Trailer
1001173,5536955,D,1/12/96 12:00,8,M,In Water
1001174,5536955,D,1/12/96 12:00,11,M,In Water
1001175,5537464,D,1/7/96 12:00,24,M,Other
1001177,5538285,D,1/10/96 12:00,11,M,Vehicle/Towed Trailer
1001178,5538285,D,1/10/96 12:00,8,M,Vehicle/Towed Trailer
1001179,5538500,D,1/18/96 12:00,44,M,Vehicle/Towed Trailer
1001180,5535993,D,1/18/96 12:00,48,M,Outside/Open Areas
1001183,5538088,D,1/9/96 12:00,89,M,Outside/Open Areas
1001184,5538297,D,1/18/96 12:00,88,M,Outside/Open Areas
1001185,5538557,D,1/30/96 12:00,85,M,Outside/Open Areas
1001186,5538562,D,1/30/96 12:00,31,M,Outside/Open Areas
1001252,5542840,D,2/1/96 12:00,60,M,Outside/Open Areas
1001253,5542841,D,2/4/96 12:00,72,M,Outside/Open Areas
1001254,5539655,D,2/2/96 12:00,63,M,Outside/Open Areas
1001255,5539670,D,2/3/96 12:00,42,M,Outside/Open Areas
1001259,5548992,D,2/2/96 12:00,69,M,Permanent Home
1001276,5548494,D,2/4/96 12:00,77,F,Outside/Open Areas
1001277,5548505,D,2/4/96 12:00,67,M,Permanent Home
1001625,5580203,D,2/5/96 12:00,21,F,Vehicle/Towed Trailer
1001626,5580206,D,2/4/96 12:00,47,M,Mobile/Trailer Home
1001627,5580207,D,2/4/96 12:00,38,F,Mobile/Trailer Home
1001628,5580207,D,2/4/96 12:00,10,M,Mobile/Trailer Home
1001629,5580208,D,2/5/96 12:00,81,F,Permanent Home
1001643,5575644,D,2/28/96 12:00,59,M,Outside/Open Areas
1001703,5582843,D,2/2/96 12:00,31,F,Outside/Open Areas
1001282,5547696,D,2/8/96 12:00,67,M,In Water
1001283,5547696,D,2/8/96 12:00,17,F,In Water
1001284,5547696,D,2/8/96 12:00,41,M,In Water
1001285,5547696,D,2/8/96 12:00,19,M,In Water
1001358,5552404,D,2/25/96 12:00,44,M,Vehicle/Towed Trailer
1001359,5552404,D,2/25/96 12:00,6,M,Vehicle/Towed Trailer
1001273,5547364,D,3/25/96 12:00,39,F,Vehicle/Towed Trailer
1001274,5547364,D,3/25/96 12:00,10,F,Vehicle/Towed Trailer
1001517,5572962,D,3/16/96 12:00,48,M,Boat
1001279,5549201,D,3/20/96 12:00,38,M,Outside/Open Areas
1001206,5537682,D,3/12/96 12:00,26,M,Boat
1001207,5537682,D,3/12/96 12:00,44,M,Boat
1001219,5542165,D,3/27/96 12:00,,M,In Water
1001220,5542165,D,3/27/96 12:00,,M,In Water
1001221,5542165,D,3/27/96 12:00,,M,In Water
1001222,5542165,D,3/27/96 12:00,,M,In Water
1001223,5542165,D,3/27/96 12:00,,M,In Water
1001224,5542419,D,3/25/96 12:00,35,M,Outside/Open Areas
1001230,5539829,D,3/25/96 12:00,62,M,Vehicle/Towed Trailer
1001256,5541192,D,3/15/96 12:00,31,M,Permanent Home
1001257,5540703,D,3/8/96 12:00,90,M,Outside/Open Areas
1001258,5540704,D,3/8/96 12:00,47,M,Outside/Open Areas
1001262,5549785,D,3/25/96 12:00,42,F,Vehicle/Towed Trailer
1001263,5549797,D,3/25/96 12:00,24,M,Outside/Open Areas
1001264,5546526,D,3/6/96 12:00,17,F,Permanent Home
1001266,5546526,D,3/6/96 12:00,50,M,Mobile/Trailer Home
1001267,5546526,D,3/6/96 12:00,52,F,Mobile/Trailer Home
1001268,5546532,D,3/6/96 12:00,25,M,Mobile/Trailer Home
1001269,5546532,D,3/6/96 12:00,30,M,Mobile/Trailer Home
1001270,5546533,D,3/6/96 12:00,52,F,Mobile/Trailer Home
1001271,5546744,D,3/8/96 12:00,59,M,Outside/Open Areas
1001644,5575657,D,3/25/96 12:00,40,M,Vehicle/Towed Trailer
1001651,5576190,D,3/24/96 12:00,35,M,Other
1001652,5576190,D,3/24/96 12:00,35,M,Other
1001294,5545851,D,3/3/96 12:00,18,F,Vehicle/Towed Trailer
1001296,5545862,D,3/7/96 12:00,83,M,Vehicle/Towed Trailer
1001297,5545862,D,3/7/96 12:00,82,F,Vehicle/Towed Trailer
1001393,5561333,D,4/29/96 12:00,6,M,In Water
1001394,5561335,D,4/29/96 12:00,6,M,In Water
1001488,5562706,D,4/21/96 12:00,37,M,Mobile/Trailer Home
1001489,5562706,D,4/21/96 12:00,10,M,Mobile/Trailer Home
1001278,5547218,D,4/25/96 12:00,13,M,Under Tree
1001682,5584104,D,4/21/96 12:00,2,F,Permanent Home
1001683,5584104,D,4/21/96 12:00,5,M,Permanent Home
1001280,5546382,D,4/20/96 12:00,56,M,Camping
1001281,5546382,D,4/20/96 12:00,55,F,Camping
1001286,5547274,D,4/16/96 12:00,15,M,Outside/Open Areas
1001287,5545384,D,4/5/96 12:00,51,M,Golfing
1001298,5545465,D,4/20/96 12:00,18,M,Mobile/Trailer Home
1001300,5543438,D,4/23/96 12:00,84,F,Camping
1001301,5543619,D,4/18/96 12:00,25,M,Outside/Open Areas
1001320,5543481,D,4/14/96 12:00,71,M,Mobile/Trailer Home
1001321,5543481,D,4/14/96 12:00,64,F,Mobile/Trailer Home
1001322,5543481,D,4/14/96 12:00,65,M,Mobile/Trailer Home
1001323,5543481,D,4/14/96 12:00,65,F,Mobile/Trailer Home
1001324,5543481,D,4/14/96 12:00,53,F,Permanent Home
1001325,5543482,D,4/14/96 12:00,54,M,Permanent Home
1001326,5543482,D,4/14/96 12:00,50,F,Permanent Home
1001330,5543905,D,4/19/96 12:00,55,F,Vehicle/Towed Trailer
1001341,5555450,D,4/12/96 12:00,75,F,Permanent Home
1001342,5555451,D,4/12/96 12:00,,M,Boat
1001343,5555451,D,4/12/96 12:00,,M,Boat
1001344,5555453,D,4/12/96 12:00,75,M,Vehicle/Towed Trailer
1001347,5554861,D,4/17/96 12:00,16,M,Under Tree
1001438,5557547,D,5/21/96 12:00,14,M,Other
1001404,5560391,D,5/21/96 12:00,74,M,Vehicle/Towed Trailer
1001420,5558766,D,5/4/96 12:00,73,M,Outside/Open Areas
1001519,5573364,D,5/26/96 12:00,79,M,Boat
1001302,5545935,D,5/16/96 12:00,1,M,In Water
1001327,5545142,D,5/9/96 12:00,58,M,Outside/Open Areas
1001328,5545155,D,5/20/96 12:00,68,F,Permanent Home
1001329,5545155,D,5/19/96 12:00,72,M,Permanent Home
1001334,5555387,D,5/31/96 12:00,59,M,In Water
1001345,5554060,D,5/5/96 12:00,10,M,In Water
1001348,5555091,D,5/5/96 12:00,3,M,Outside/Open Areas
1001349,5555480,D,5/16/96 12:00,57,F,In Water
1001350,5555484,D,5/17/96 12:00,82,F,In Water
1001351,5555484,D,5/17/96 12:00,55,F,In Water
1001352,5553074,D,5/28/96 12:00,47,M,Outside/Open Areas
1001354,5554496,D,5/3/96 12:00,26,M,Outside/Open Areas
1001355,5555353,D,5/12/96 12:00,78,M,Mobile/Trailer Home
1001356,5555972,D,5/5/96 12:00,78,M,Vehicle/Towed Trailer
1001357,5555972,D,5/5/96 12:00,66,F,Vehicle/Towed Trailer
1001370,5562000,D,5/22/96 12:00,17,F,In Water
1001389,5559585,D,5/17/96 12:00,33,F,In Water
1001437,5556362,D,6/12/96 12:00,32,M,Outside/Open Areas
1001440,5559240,D,6/23/96 12:00,24,F,In Water
1001441,5559242,D,6/23/96 12:00,24,F,In Water
1001442,5559275,D,6/22/96 12:00,61,M,Permanent Home
1001443,5559276,D,6/30/96 12:00,81,F,Permanent Home
1001455,5567519,D,6/12/96 12:00,13,F,Permanent Home
1001459,5567944,D,6/4/96 12:00,16,M,Other
1001460,5567944,D,6/4/96 12:00,16,F,Other
1001484,5567093,D,6/12/96 12:00,52,M,Vehicle/Towed Trailer
1001485,5567093,D,6/12/96 12:00,54,M,In Water
1001492,5563375,D,6/19/96 12:00,24,M,In Water
1001395,5561505,D,6/13/96 12:00,41,M,Outside/Open Areas
1001396,5561517,D,6/26/96 12:00,28,M,Long Span Roof
1001405,5560605,D,6/19/96 12:00,36,F,Outside/Open Areas
1001406,5560610,D,6/19/96 12:00,29,M,In Water
1001407,5560610,D,6/19/96 12:00,29,F,In Water
1001408,5560613,D,6/19/96 12:00,28,M,Outside/Open Areas
1001411,5557840,D,6/16/96 12:00,78,F,Under Tree
1001508,5573083,D,6/13/96 12:00,17,F,Ball Field
1001534,5574065,D,6/7/96 12:00,38,M,Outside/Open Areas
1001535,5574242,D,6/19/96 12:00,47,M,Vehicle/Towed Trailer
1001539,5570178,D,6/20/96 12:00,,,Vehicle/Towed Trailer
1001540,5570188,D,6/22/96 12:00,31,M,School
1001619,5580387,D,6/3/96 12:00,,,Vehicle/Towed Trailer
1001666,5576433,D,6/30/96 12:00,10,M,In Water
1001687,5583418,D,6/28/96 12:00,25,M,Camping
1001335,5555392,D,6/2/96 12:00,11,M,In Water
1001353,5553296,D,6/27/96 12:00,38,M,Mobile/Trailer Home
1001360,5552853,D,6/9/96 12:00,22,M,In Water
1001361,5552853,D,6/7/96 12:00,24,M,In Water
1001362,5552853,D,6/6/96 12:00,56,M,In Water
1001363,5550599,D,6/13/96 12:00,29,M,Heavy Equipment/Construction
1001365,5551690,D,6/22/96 12:00,73,M,Vehicle/Towed Trailer
1001366,5549919,D,6/23/96 12:00,39,M,Outside/Open Areas
1001367,5551726,D,6/1/96 12:00,39,M,Outside/Open Areas
1001368,5551508,D,6/17/96 12:00,20,M,Ball Field
1001371,5562012,D,6/3/96 12:00,15,M,In Water
1001372,5560267,D,6/6/96 12:00,9,M,Outside/Open Areas
1001373,5560614,D,6/3/96 12:00,30,F,Outside/Open Areas
1001375,5561260,D,6/25/96 12:00,46,M,Vehicle/Towed Trailer
1001388,5562095,D,6/29/96 12:00,32,M,Golfing
1001429,5557695,D,7/6/96 12:00,93,F,Permanent Home
1001431,5557695,D,7/8/96 12:00,67,F,Permanent Home
1001432,5557695,D,7/8/96 12:00,82,M,Permanent Home
1001433,5557695,D,7/9/96 12:00,71,F,Permanent Home
1001436,5558277,D,7/12/96 12:00,73,M,Mobile/Trailer Home
1001439,5558502,D,7/28/96 12:00,81,M,Permanent Home
1001444,5558384,D,7/4/96 12:00,32,M,Outside/Open Areas
1001445,5558388,D,7/7/96 12:00,32,M,In Water
1001446,5558389,D,7/7/96 12:00,43,M,In Water
1001447,5558390,D,7/19/96 12:00,,M,In Water
1001448,5558391,D,7/26/96 12:00,50,M,In Water
1001449,5558392,D,7/27/96 12:00,14,M,In Water
1001450,5558393,D,7/30/96 12:00,48,M,In Water
1001451,5567825,D,7/17/96 12:00,26,M,Permanent Home
1001452,5568021,D,7/15/96 12:00,20,M,Ball Field
1001456,5568094,D,7/17/96 12:00,28,M,Outside/Open Areas
1001457,5568095,D,7/29/96 12:00,82,M,Vehicle/Towed Trailer
1001461,5568310,D,7/15/96 12:00,32,F,Vehicle/Towed Trailer
1001463,5568310,D,7/15/96 12:00,7,M,Vehicle/Towed Trailer
1001464,5568310,D,7/15/96 12:00,12,M,Vehicle/Towed Trailer
1001471,5566828,D,7/21/96 12:00,18,F,Vehicle/Towed Trailer
1001472,5566839,D,7/29/96 12:00,41,F,Vehicle/Towed Trailer
1001474,5567983,D,7/18/96 12:00,20,M,In Water
1001475,5567983,D,7/18/96 12:00,61,M,In Water
1001501,5562800,D,7/12/96 12:00,41,M,In Water
1001398,5560005,D,7/29/96 12:00,15,M,In Water
1001399,5560006,D,7/6/96 12:00,27,M,In Water
1001400,5560007,D,7/7/96 12:00,35,M,In Water
1001401,5560008,D,7/28/96 12:00,,M,In Water
1001402,5560009,D,7/30/96 12:00,67,F,In Water
1001403,5560012,D,7/15/96 12:00,34,F,Vehicle/Towed Trailer
1001421,5557472,D,7/20/96 12:00,27,M,Outside/Open Areas
1001422,5557483,D,7/17/96 12:00,7,M,Outside/Open Areas
1001423,5557495,D,7/10/96 12:00,28,M,In Water
1001424,5557496,D,7/1/96 12:00,32,M,In Water
1001425,5557510,D,7/13/96 12:00,24,M,Heavy Equipment/Construction
1001426,5557693,D,7/7/96 12:00,76,M,Permanent Home
1001427,5557693,D,7/4/96 12:00,77,F,Permanent Home
1001503,5564440,D,7/13/96 12:00,75,F,Permanent Home
1001511,5574552,D,7/19/96 12:00,73,F,Mobile/Trailer Home
1001512,5574565,D,7/19/96 12:00,4,M,In Water
1001520,5575019,D,7/4/96 12:00,83,F,Permanent Home
1001521,5575019,D,7/4/96 12:00,87,M,Permanent Home
1001522,5575020,D,7/4/96 12:00,71,M,Permanent Home
1001523,5575021,D,7/4/96 12:00,66,M,Permanent Home
1001524,5575022,D,7/4/96 12:00,67,M,Permanent Home
1001525,5575023,D,7/4/96 12:00,80,F,Permanent Home
1001526,5575023,D,7/4/96 12:00,89,M,Outside/Open Areas
1001536,5574459,D,7/8/96 12:00,35,M,In Water
1001582,5571474,D,7/19/96 12:00,2,F,In Water
1001607,5579405,D,7/8/96 12:00,34,M,Outside/Open Areas
1001187,5535830,D,1/8/96 12:00,75,F,Permanent Home
1001188,5536048,D,1/22/96 12:00,70,M,Outside/Open Areas
1001189,5536048,D,1/22/96 12:00,,,Outside/Open Areas
1001190,5536048,D,1/22/96 12:00,,,Outside/Open Areas
1001191,5536048,D,1/22/96 12:00,44,M,Outside/Open Areas
1001194,5537602,D,1/17/96 12:00,33,M,Business
1001195,5537602,D,1/17/96 12:00,21,M,Business
1001196,5537602,D,1/17/96 12:00,57,F,Business
1001197,5538403,D,1/18/96 12:00,56,M,Outside/Open Areas
1001198,5538890,D,1/27/96 12:00,44,F,Outside/Open Areas
1001203,5537434,D,1/3/96 12:00,54,M,Outside/Open Areas
1001212,5539723,D,1/18/96 12:00,72,M,Outside/Open Areas
1001214,5540002,D,1/26/96 12:00,19,M,Vehicle/Towed Trailer
1001235,5541966,D,1/7/96 12:00,72,M,Outside/Open Areas
1001236,5541968,D,1/9/96 12:00,71,M,Outside/Open Areas
1001237,5542222,D,1/8/96 12:00,80,M,Outside/Open Areas
1001241,5540874,D,1/9/96 12:00,67,M,Outside/Open Areas
1001242,5541089,D,1/19/96 12:00,,M,Vehicle/Towed Trailer
1001244,5541122,D,1/20/96 12:00,16,M,Vehicle/Towed Trailer
1001245,5541122,D,1/20/96 12:00,15,F,Vehicle/Towed Trailer
1001246,5541122,D,1/20/96 12:00,14,F,Vehicle/Towed Trailer
1001247,5541127,D,1/9/96 12:00,52,M,Outside/Open Areas
1001248,5541136,D,1/9/96 12:00,50,M,Outside/Open Areas
1001260,5547790,D,1/18/96 12:00,56,M,Other
1001261,5547790,D,1/18/96 12:00,51,M,Outside/Open Areas
1001704,5583205,D,1/19/96 12:00,29,F,Vehicle/Towed Trailer
